,station,date,prcp,tobs
2792,USC00513117,3/12/2010,0.03,71
5443,USC00514830,3/12/2010,0.02,67
9055,USC00518838,3/12/2010,0.04,69
9588,USC00519523,3/12/2010,0,69
12257,USC00519281,3/12/2010,0.12,70
15025,USC00511918,3/12/2010,0,71
17006,USC00516128,3/12/2010,0.03,66
63,USC00519397,3/13/2010,0,73
2793,USC00513117,3/13/2010,0,70
9056,USC00518838,3/13/2010,0.03,62
9589,USC00519523,3/13/2010,0,76
12258,USC00519281,3/13/2010,0,73
17007,USC00516128,3/13/2010,0.1,74
64,USC00519397,3/14/2010,0,70
2794,USC00513117,3/14/2010,0,72
5444,USC00514830,3/14/2010,0,70
9057,USC00518838,3/14/2010,0.02,62
9590,USC00519523,3/14/2010,0,75
12259,USC00519281,3/14/2010,0,74
15026,USC00511918,3/14/2010,0,76
17008,USC00516128,3/14/2010,0.1,74
65,USC00519397,3/15/2010,0.06,71
2795,USC00513117,3/15/2010,0.16,70
5445,USC00514830,3/15/2010,0.03,70
9058,USC00518838,3/15/2010,0.13,65
9591,USC00519523,3/15/2010,0.13,71
12260,USC00519281,3/15/2010,0.23,67
15027,USC00511918,3/15/2010,0.01,66
17009,USC00516128,3/15/2010,0.83,66
2796,USC00513117,3/16/2010,0.16,71
9059,USC00518838,3/16/2010,0.46,63
9592,USC00519523,3/16/2010,0.35,71
12261,USC00519281,3/16/2010,0.5,68
15028,USC00511918,3/16/2010,0.06,65
17010,USC00516128,3/16/2010,2.2,69
66,USC00519397,3/17/2010,0,68
2797,USC00513117,3/17/2010,0.4,66
9593,USC00519523,3/17/2010,0.05,69
12262,USC00519281,3/17/2010,0.19,64
15029,USC00511918,3/17/2010,0,63
17011,USC00516128,3/17/2010,1.32,65
67,USC00519397,3/18/2010,0,70
2798,USC00513117,3/18/2010,0.44,66
5447,USC00514830,3/18/2010,0.54,66
9594,USC00519523,3/18/2010,0.74,67
12263,USC00519281,3/18/2010,0.69,65
15030,USC00511918,3/18/2010,0.01,65
17012,USC00516128,3/18/2010,0.11,70
2799,USC00513117,3/19/2010,0.08,69
5448,USC00514830,3/19/2010,0.07,66
9595,USC00519523,3/19/2010,0.03,68
12264,USC00519281,3/19/2010,0.19,68
15031,USC00511918,3/19/2010,0,67
17013,USC00516128,3/19/2010,0.01,67
2800,USC00513117,3/20/2010,0.01,69
5449,USC00514830,3/20/2010,0,68
9596,USC00519523,3/20/2010,0,71
12265,USC00519281,3/20/2010,0,68
15032,USC00511918,3/20/2010,0,73
17014,USC00516128,3/20/2010,0.18,65
68,USC00519397,3/21/2010,0,72
2801,USC00513117,3/21/2010,0,71
5450,USC00514830,3/21/2010,0,72
9597,USC00519523,3/21/2010,0,70
12266,USC00519281,3/21/2010,0.05,72
15033,USC00511918,3/21/2010,0,60
